Species,Latitude,Longitude
Tremarctos ornatus,4.9144,-73.7279
Tremarctos ornatus,4.9144,-73.7279
Tremarctos ornatus,4.9144,-73.7279
Tremarctos ornatus,4.9144,-73.7279
Tremarctos ornatus,4.9144,-73.7279
Tremarctos ornatus,4.9144,-73.7279
Tremarctos ornatus,4.9144,-73.7279
Tremarctos ornatus,4.9144,-73.7279
Tremarctos ornatus,4.9136,-73.7276
Tremarctos ornatus,4.9136,-73.7276
Tremarctos ornatus,4.9136,-73.7276
Tremarctos ornatus,4.9136,-73.7276
Tremarctos ornatus,4.9161,-73.7305
Tremarctos ornatus,4.9161,-73.7305
Tremarctos ornatus,4.9161,-73.7305
Tremarctos ornatus,4.9161,-73.7305
Tremarctos ornatus,4.9161,-73.7305
Tremarctos ornatus,4.9161,-73.7305
Tremarctos ornatus,4.9161,-73.7305
Tremarctos ornatus,4.9161,-73.7305
Tremarctos ornatus,4.9154,-73.7284
